

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 22survey.b   26 III24
/datum  52000.00
/ 060.3316903   015.5070749 
/UTC+01
/33V
/GPS datum WGS84 
/000A09BA
/no AC filter
/12.5V
/tune initialize Y auto-tune Y 049.3uT
/115200bps
/time nT sq 
102910.0  51763.02 99 
102915.0  51763.06 99 
102920.0  51763.11 99 
102925.0  51762.93 99 
102930.0  51762.92 99 
102935.0  51763.11 99 
102940.0  51763.07 99 
102945.0  51763.02 99 
102950.0  51763.14 99 
102955.0  51763.14 99 
103000.0  51763.16 99 
103005.0  51763.28 99 
103010.0  51763.31 99 
103015.0  51763.26 99 
103020.0  51763.39 99 
103025.0  51763.29 99 
103030.0  51763.38 99 
103035.0  51763.29 99 
103040.0  51763.35 99 
103045.0  51763.29 99 
103050.0  51763.17 99 
103055.0  51763.29 99 
103100.0  51763.28 99 
103105.0  51763.28 99 
103110.0  51763.27 99 
103115.0  51763.21 99 
103120.0  51763.27 99 
103125.0  51763.28 99 
103130.0  51763.14 99 
103135.0  51763.18 99 
103140.0  51763.29 99 
103145.0  51763.24 99 
103150.0  51763.12 99 
103155.0  51763.01 99 
103200.0  51763.08 99 
103205.0  51763.14 99 
103210.0  51763.22 99 
103215.0  51763.23 99 
103220.0  51763.29 99 
103225.0  51763.12 99 
103230.0  51763.09 99 
103235.0  51763.16 99 
103240.0  51763.18 99 
103245.0  51763.13 99 
103250.0  51763.13 99 
103255.0  51763.03 99 
103300.0  51763.08 99 
103305.0  51763.02 99 
103310.0  51763.12 99 
103315.0  51763.04 99 
103320.0  51763.04 99 
103325.0  51763.10 99 
103330.0  51763.00 99 
103335.0  51763.10 99 
103340.0  51763.04 99 
103345.0  51763.05 99 
103350.0  51762.97 99 
103355.0  51763.11 99 
103400.0  51763.22 99 
103405.0  51763.20 99 
103410.0  51763.25 99 
103415.0  51763.21 99 
103420.0  51763.18 99 
103425.0  51763.03 99 
103430.0  51762.99 99 
103435.0  51762.96 99 
103440.0  51762.88 99 
103445.0  51762.91 99 
103450.0  51762.77 99 
103455.0  51762.85 99 
103500.0  51762.76 99 
103505.0  51762.65 99 
103510.0  51762.60 99 
103515.0  51762.68 99 
103520.0  51762.69 99 
103525.0  51762.73 99 
103530.0  51762.58 99 
103535.0  51762.60 99 
103540.0  51762.52 99 
103545.0  51762.56 99 
103550.0  51762.57 99 
103555.0  51762.39 99 
103600.0  51762.41 99 
103605.0  51762.27 99 
103610.0  51762.30 99 
103615.0  51762.15 99 
103620.0  51762.17 99 
103625.0  51762.11 99 
103630.0  51762.26 99 
103635.0  51762.19 99 
103640.0  51762.23 99 
103645.0  51762.27 99 
103650.0  51762.30 99 
103655.0  51762.30 99 
103700.0  51762.43 99 
103705.0  51762.38 99 
103710.0  51762.45 99 
103715.0  51762.48 99 
103720.0  51762.56 99 
103725.0  51762.49 99 
103730.0  51762.61 99 
103735.0  51762.48 99 
103740.0  51762.59 99 
103745.0  51762.62 99 
103750.0  51762.54 99 
103755.0  51762.57 99 
103800.0  51762.62 99 
103805.0  51762.54 99 
103810.0  51762.62 99 
103815.0  51762.70 99 
103820.0  51762.74 99 
103825.0  51762.76 99 
103830.0  51762.77 99 
103835.0  51762.70 99 
103840.0  51762.71 99 
103845.0  51762.83 99 
103850.0  51762.70 99 
103855.0  51762.69 99 
103900.0  51762.66 99 
103905.0  51762.73 99 
103910.0  51762.59 99 
103915.0  51762.60 99 
103920.0  51762.36 99 
103925.0  51762.42 99 
103930.0  51762.41 99 
103935.0  51762.36 99 
103940.0  51762.54 99 
103945.0  51762.55 99 
103950.0  51762.57 99 
103955.0  51762.55 99 
104000.0  51762.44 99 
104005.0  51762.45 99 
104010.0  51762.53 99 
104015.0  51762.47 99 
104020.0  51762.44 99 
104025.0  51762.33 99 
104030.0  51762.33 99 
104035.0  51762.29 99 
104040.0  51762.39 99 
104045.0  51762.27 99 
104050.0  51762.26 99 
104055.0  51762.14 99 
104100.0  51762.29 99 
104105.0  51762.27 99 
104110.0  51762.28 99 
104115.0  51762.20 99 
104120.0  51762.27 99 
104125.0  51762.38 99 
104130.0  51762.45 99 
104135.0  51762.42 99 
104140.0  51762.45 99 
104145.0  51762.41 99 
104150.0  51762.44 99 
104155.0  51762.46 99 
104200.0  51762.36 99 
104205.0  51762.27 99 
104210.0  51762.28 99 
104215.0  51762.25 99 
104220.0  51762.33 99 
104225.0  51762.28 99 
104230.0  51762.25 99 
104235.0  51762.45 99 
104240.0  51762.30 99 
104245.0  51762.59 99 
104250.0  51762.64 99 
104255.0  51762.77 99 
104300.0  51762.91 99 
104305.0  51762.78 99 
104310.0  51762.98 99 
104315.0  51762.93 99 
104320.0  51763.11 99 
104325.0  51763.02 99 
104330.0  51763.20 99 
104335.0  51763.13 99 
104340.0  51763.04 99 
104345.0  51762.91 99 
104350.0  51762.99 99 
104355.0  51762.98 99 
104400.0  51763.10 99 
104405.0  51763.15 99 
104410.0  51763.18 99 
104415.0  51763.27 99 
104420.0  51763.27 99 
104425.0  51763.28 99 
104430.0  51763.27 99 
104435.0  51763.46 99 
104440.0  51763.45 99 
104445.0  51763.27 99 
104450.0  51763.35 99 
104455.0  51763.50 99 
104500.0  51763.40 99 
104505.0  51763.33 99 
104510.0  51763.41 99 
104515.0  51763.20 99 
104520.0  51763.26 99 
104525.0  51763.18 99 
104530.0  51763.13 99 
104535.0  51763.08 99 
104540.0  51762.94 99 
104545.0  51763.00 99 
104550.0  51762.94 99 
104555.0  51762.92 99 
104600.0  51762.91 99 
104605.0  51762.77 99 
104610.0  51762.83 99 
104615.0  51762.63 99 
104620.0  51762.43 99 
104625.0  51762.37 99 
104630.0  51762.26 99 
104635.0  51762.18 99 
104640.0  51762.08 99 
104645.0  51761.95 99 
104650.0  51761.87 99 
104655.0  51761.67 99 
104700.0  51761.56 99 
104705.0  51761.61 99 
104710.0  51761.45 99 
104715.0  51761.34 99 
104720.0  51761.39 99 
104725.0  51761.32 99 
